rank,tax,statistic,p.value,parameter,method,p.adj,10%Fat,60%Fat,Oleate,max,min,LDAscore,direction
Family,Bacilli,46.66188756,7.37E-11,2,Kruskal-Wallis rank sum test,4.20E-09,0,23828.97789,220.6946713,23828.97789,0,4.08,60%Fat
Family,Bacilli,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Family,Bacilli,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Family,Bacilli,12.29536147,0.002138436,2,Kruskal-Wallis rank sum test,0.006415307,43544.56766,9192.171875,11277.19068,43544.56766,9192.171875,4.23,10%Fat
Family,Bacilli,31.32697816,1.58E-07,2,Kruskal-Wallis rank sum test,2.33E-06,131652.9912,1249815.714,451193.7163,1249815.714,131652.9912,5.75,60%Fat
Family,Bacilli,2.766911746,0.25071063,2,Kruskal-Wallis rank sum test,0.327263494,NA,NA,NA,NA,NA,NA,NA
Family,Bacilli,27.33762979,1.16E-06,2,Kruskal-Wallis rank sum test,1.18E-05,865803.9301,14224.37341,891796.5377,891796.5377,14224.37341,5.64,Oleate
Family,Bacilli,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Family,Bacilli,3.507429288,0.173129633,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Family,Bacilli,5.240196876,0.072795697,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Family,Bacilli,0.012752971,0.993643801,2,Kruskal-Wallis rank sum test,0.993643801,NA,NA,NA,NA,NA,NA,NA
Family,Bacilli,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,21.90267271,1.75E-05,2,Kruskal-Wallis rank sum test,0.000115324,437.1679754,3377.751977,1299.01745,3377.751977,437.1679754,3.17,60%Fat
Family,Clostridia,4.637665593,0.098388358,2,Kruskal-Wallis rank sum test,0.169310113,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,10.1470335,0.006260365,2,Kruskal-Wallis rank sum test,0.014868367,4719.20638,1758.364893,419.3992416,4719.20638,419.3992416,3.33,10%Fat
Family,Clostridia,26.36798127,1.88E-06,2,Kruskal-Wallis rank sum test,1.61E-05,1421.781361,23477.63028,24739.2896,24739.2896,1421.781361,4.07,Oleate
Family,Clostridia,34.94552209,2.58E-08,2,Kruskal-Wallis rank sum test,5.35E-07,1380.324,262173.5033,11894.01162,262173.5033,1380.324,5.12,60%Fat
Family,Clostridia,15.57004831,0.000415917,2,Kruskal-Wallis rank sum test,0.001693378,0,986.151797,78.91351867,986.151797,0,2.69,60%Fat
Family,Clostridia,3.76405299,0.152281196,2,Kruskal-Wallis rank sum test,0.241111893,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,13.11504269,0.0014194,2,Kruskal-Wallis rank sum test,0.004579572,659.0900807,7032.093377,1646.32899,7032.093377,659.0900807,3.5,60%Fat
Family,Clostridia,0.357175417,0.83645069,2,Kruskal-Wallis rank sum test,0.888404149,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,10.66818833,0.004824278,2,Kruskal-Wallis rank sum test,0.012131641,960782.213,924376.4153,575685.9542,960782.213,575685.9542,5.28,10%Fat
Family,Clostridia,0.078141783,0.961682532,2,Kruskal-Wallis rank sum test,0.984716844,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,0.271122942,0.873225483,2,Kruskal-Wallis rank sum test,0.911624016,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,4.093805943,0.129134217,2,Kruskal-Wallis rank sum test,0.214387875,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,11.13544228,0.003819174,2,Kruskal-Wallis rank sum test,0.010706209,4721.898433,12226.26848,5178.293679,12226.26848,4721.898433,3.57,60%Fat
Family,Clostridia,1.610454708,0.446986291,2,Kruskal-Wallis rank sum test,0.519963644,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,0.750831246,0.687003685,2,Kruskal-Wallis rank sum test,0.73885302,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,14.1915503,0.000828598,2,Kruskal-Wallis rank sum test,0.002833806,416241.3357,158602.649,103091.4616,416241.3357,103091.4616,5.19,10%Fat
Family,Firmicutes,1.334415584,0.513139371,2,Kruskal-Wallis rank sum test,0.566108596,NA,NA,NA,NA,NA,NA,NA
Family,Alphaproteobacteria,5.184021544,0.074869343,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Family,Alphaproteobacteria,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Family,Gammaproteobacteria,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Family,Gammaproteobacteria,16.29900166,0.00028888,2,Kruskal-Wallis rank sum test,0.00123496,183105.254,53332.89382,128183.1627,183105.254,53332.89382,4.81,10%Fat
Family,Gammaproteobacteria,3.393939394,0.18323795,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Family,Gammaproteobacteria,1.400444793,0.496474877,2,Kruskal-Wallis rank sum test,0.562233139,NA,NA,NA,NA,NA,NA,NA
Family,Verrucomicrobiae,10.81919083,0.00447345,2,Kruskal-Wallis rank sum test,0.011417312,481587.7986,798291.595,1278038.812,1278038.812,481587.7986,5.6,Oleate
Genus,Actinobacteria,3.388956552,0.183695042,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Genus,Actinobacteria,3.393939394,0.18323795,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Genus,Coriobacteriia,7.039195521,0.029611344,2,Kruskal-Wallis rank sum test,0.06409544,24411.44188,0,0,24411.44188,0,4.09,10%Fat
Genus,Coriobacteriia,17.37713139,0.000168502,2,Kruskal-Wallis rank sum test,0.000873144,0,0,6317.227505,6317.227505,0,3.5,Oleate
Genus,Coriobacteriia,17.6882035,0.00014423,2,Kruskal-Wallis rank sum test,0.000770729,0,984.9463901,57.76945113,984.9463901,0,2.69,60%Fat
Genus,Coriobacteriia,6.333439153,0.042141614,2,Kruskal-Wallis rank sum test,0.087880682,18311.7037,9912.232379,8631.884252,18311.7037,8631.884252,3.68,10%Fat
Genus,Coriobacteriia,4.217141786,0.121411352,2,Kruskal-Wallis rank sum test,0.203542561,NA,NA,NA,NA,NA,NA,NA
Genus,Coriobacteriia,19.62486574,5.48E-05,2,Kruskal-Wallis rank sum test,0.000346854,55141.44329,14580.4006,49683.21281,55141.44329,14580.4006,4.31,10%Fat
Genus,Coriobacteriia,2.333949325,0.311307328,2,Kruskal-Wallis rank sum test,0.400252279,NA,NA,NA,NA,NA,NA,NA
Genus,Bacteroidia,5.982187612,0.050232462,2,Kruskal-Wallis rank sum test,0.101055894,NA,NA,NA,NA,NA,NA,NA
Genus,Bacteroidia,39.57107053,2.55E-09,2,Kruskal-Wallis rank sum test,7.28E-08,279902.1274,1608352.757,1068388.844,1608352.757,279902.1274,5.82,60%Fat
Genus,Bacteroidia,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,46.66188756,7.37E-11,2,Kruskal-Wallis rank sum test,4.20E-09,0,23828.97789,220.6946713,23828.97789,0,4.08,60%Fat
Genus,Bacilli,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,8.978037958,0.011231657,2,Kruskal-Wallis rank sum test,0.025608178,2643.468881,105.6792002,1142.849565,2643.468881,105.6792002,3.1,10%Fat
Genus,Bacilli,11.18651201,0.003722886,2,Kruskal-Wallis rank sum test,0.010706209,40901.09878,9086.492675,10117.36704,40901.09878,9086.492675,4.2,10%Fat
Genus,Bacilli,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,32.74931614,7.74E-08,2,Kruskal-Wallis rank sum test,1.32E-06,34125.76781,550744.2312,363112.3001,550744.2312,34125.76781,5.41,60%Fat
Genus,Bacilli,1.302766721,0.521324099,2,Kruskal-Wallis rank sum test,0.571451416,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,0.762798877,0.682905057,2,Kruskal-Wallis rank sum test,0.73885302,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,31.24894223,1.64E-07,2,Kruskal-Wallis rank sum test,2.33E-06,1225.128811,697536.0899,44541.7659,697536.0899,1225.128811,5.54,60%Fat
Genus,Bacilli,11.23954402,0.003625468,2,Kruskal-Wallis rank sum test,0.010688879,0,1052.858395,1378.316634,1378.316634,0,2.84,Oleate
Genus,Bacilli,2.766911746,0.25071063,2,Kruskal-Wallis rank sum test,0.327263494,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,4.625033254,0.099011762,2,Kruskal-Wallis rank sum test,0.169310113,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,27.31865378,1.17E-06,2,Kruskal-Wallis rank sum test,1.18E-05,850428.4227,14224.37341,891748.1813,891748.1813,14224.37341,5.64,Oleate
Genus,Bacilli,10.95435685,0.00418111,2,Kruskal-Wallis rank sum test,0.011417312,15083.68713,0,0,15083.68713,0,3.88,10%Fat
Genus,Bacilli,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,3.435016112,0.179512927,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,0.67965368,0.711893584,2,Kruskal-Wallis rank sum test,0.760836268,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,22.42609926,1.35E-05,2,Kruskal-Wallis rank sum test,0.000100347,9173.131898,95.99957738,4424.981009,9173.131898,95.99957738,3.66,10%Fat
Genus,Bacilli,5.240196876,0.072795697,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,0.012752971,0.993643801,2,Kruskal-Wallis rank sum test,0.993643801,NA,NA,NA,NA,NA,NA,NA
Genus,Bacilli,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,21.90267271,1.75E-05,2,Kruskal-Wallis rank sum test,0.000115324,437.1679754,3377.751977,1299.01745,3377.751977,437.1679754,3.17,60%Fat
Genus,Clostridia,4.637665593,0.098388358,2,Kruskal-Wallis rank sum test,0.169310113,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,10.1470335,0.006260365,2,Kruskal-Wallis rank sum test,0.014868367,4719.20638,1758.364893,419.3992416,4719.20638,419.3992416,3.33,10%Fat
Genus,Clostridia,26.36798127,1.88E-06,2,Kruskal-Wallis rank sum test,1.61E-05,1421.781361,23477.63028,24739.2896,24739.2896,1421.781361,4.07,Oleate
Genus,Clostridia,3.212094982,0.200679235,2,Kruskal-Wallis rank sum test,0.283604539,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,34.77212111,2.81E-08,2,Kruskal-Wallis rank sum test,5.35E-07,1380.324,262008.436,11721.8531,262008.436,1380.324,5.11,60%Fat
Genus,Clostridia,15.57004831,0.000415917,2,Kruskal-Wallis rank sum test,0.001693378,0,986.151797,78.91351867,986.151797,0,2.69,60%Fat
Genus,Clostridia,0.268649532,0.874306073,2,Kruskal-Wallis rank sum test,0.911624016,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,19.36038223,6.25E-05,2,Kruskal-Wallis rank sum test,0.000381755,35993.66527,5423.391852,2237.626027,35993.66527,2237.626027,4.23,10%Fat
Genus,Clostridia,28.23487713,7.39E-07,2,Kruskal-Wallis rank sum test,8.43E-06,0,15529.31193,5703.216934,15529.31193,0,3.89,60%Fat
Genus,Clostridia,0.030164697,0.98503082,2,Kruskal-Wallis rank sum test,0.993643801,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,18.93385249,7.74E-05,2,Kruskal-Wallis rank sum test,0.000456209,217154.3938,96913.56409,207469.9786,217154.3938,96913.56409,4.78,10%Fat
Genus,Clostridia,3.489079842,0.174725358,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,4.705309902,0.095116298,2,Kruskal-Wallis rank sum test,0.169310113,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,8.262513228,0.016062682,2,Kruskal-Wallis rank sum test,0.036141033,22474.35581,27455.51561,11963.82034,27455.51561,11963.82034,3.89,60%Fat
Genus,Clostridia,12.63336914,0.001805921,2,Kruskal-Wallis rank sum test,0.005614773,89506.72382,29167.22908,59106.25015,89506.72382,29167.22908,4.48,10%Fat
Genus,Clostridia,0.98424633,0.611327067,2,Kruskal-Wallis rank sum test,0.665840309,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,13.11504269,0.0014194,2,Kruskal-Wallis rank sum test,0.004579572,659.0900807,7032.093377,1646.32899,7032.093377,659.0900807,3.5,60%Fat
Genus,Clostridia,3.7689486,0.151908897,2,Kruskal-Wallis rank sum test,0.241111893,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,3.922586402,0.14067638,2,Kruskal-Wallis rank sum test,0.231304433,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,5.982187612,0.050232462,2,Kruskal-Wallis rank sum test,0.101055894,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,10.50064655,0.005245822,2,Kruskal-Wallis rank sum test,0.013000516,5867.940927,9500.821291,2630.872898,9500.821291,2630.872898,3.54,60%Fat
Genus,Clostridia,6.748393802,0.03424561,2,Kruskal-Wallis rank sum test,0.072296288,1364.628346,3811.869091,2930.609626,3811.869091,1364.628346,3.09,60%Fat
Genus,Clostridia,4.592194773,0.10065088,2,Kruskal-Wallis rank sum test,0.170408915,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,17.99820981,0.00012352,2,Kruskal-Wallis rank sum test,0.000704066,177865.6528,73594.39558,142680.9634,177865.6528,73594.39558,4.72,10%Fat
Genus,Clostridia,17.21878387,0.000182385,2,Kruskal-Wallis rank sum test,0.000917288,6386.998858,20492.8543,20664.62542,20664.62542,6386.998858,3.85,Oleate
Genus,Clostridia,24.1707841,5.64E-06,2,Kruskal-Wallis rank sum test,4.59E-05,481929.9818,512801.9774,166276.8052,512801.9774,166276.8052,5.24,60%Fat
Genus,Clostridia,0.078141783,0.961682532,2,Kruskal-Wallis rank sum test,0.984716844,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,0.271122942,0.873225483,2,Kruskal-Wallis rank sum test,0.911624016,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,30.02135938,3.03E-07,2,Kruskal-Wallis rank sum test,3.98E-06,6213.637661,10347.2371,70669.38508,70669.38508,6213.637661,4.51,Oleate
Genus,Clostridia,4.890887934,0.08668764,2,Kruskal-Wallis rank sum test,0.156037752,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,12.51406413,0.001916927,2,Kruskal-Wallis rank sum test,0.005853473,0,614.5885749,52.60901245,614.5885749,0,2.49,60%Fat
Genus,Clostridia,22.77479413,1.13E-05,2,Kruskal-Wallis rank sum test,8.81E-05,152858.1054,47933.02568,78552.80338,152858.1054,47933.02568,4.72,10%Fat
Genus,Clostridia,7.084177481,0.028952789,2,Kruskal-Wallis rank sum test,0.063473422,0,493.5027646,552.8819092,552.8819092,0,2.44,Oleate
Genus,Clostridia,3.841747225,0.14647894,2,Kruskal-Wallis rank sum test,0.238551417,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,11.13544228,0.003819174,2,Kruskal-Wallis rank sum test,0.010706209,4721.898433,12226.26848,5178.293679,12226.26848,4721.898433,3.57,60%Fat
Genus,Clostridia,1.610454708,0.446986291,2,Kruskal-Wallis rank sum test,0.519963644,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,2.642410394,0.266813545,2,Kruskal-Wallis rank sum test,0.34564482,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,43.1186764,4.33E-10,2,Kruskal-Wallis rank sum test,1.85E-08,0,4376.261148,709.7193552,4376.261148,0,3.34,60%Fat
Genus,Clostridia,1.491310393,0.474423358,2,Kruskal-Wallis rank sum test,0.548151312,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,1.994261349,0.368936523,2,Kruskal-Wallis rank sum test,0.470807055,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,14.1915503,0.000828598,2,Kruskal-Wallis rank sum test,0.002833806,416005.9797,158536.8829,103061.5914,416005.9797,103061.5914,5.19,10%Fat
Genus,Firmicutes,1.334415584,0.513139371,2,Kruskal-Wallis rank sum test,0.566108596,NA,NA,NA,NA,NA,NA,NA
Genus,Alphaproteobacteria,5.184021544,0.074869343,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Genus,Alphaproteobacteria,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Genus,Gammaproteobacteria,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Genus,Gammaproteobacteria,16.29900166,0.00028888,2,Kruskal-Wallis rank sum test,0.00123496,183105.254,53332.89382,128183.1627,183105.254,53332.89382,4.81,10%Fat
Genus,Gammaproteobacteria,3.393939394,0.18323795,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Genus,Gammaproteobacteria,1.400444793,0.496474877,2,Kruskal-Wallis rank sum test,0.562233139,NA,NA,NA,NA,NA,NA,NA
Genus,Verrucomicrobiae,10.81919083,0.00447345,2,Kruskal-Wallis rank sum test,0.011417312,481587.7986,798291.595,1278038.812,1278038.812,481587.7986,5.6,Oleate
Kingdom,,NA,NA,2,Kruskal-Wallis rank sum test,NA,NA,NA,NA,NA,NA,NA,NA
Order,Actinobacteria,3.388956552,0.183695042,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Order,Actinobacteria,3.393939394,0.18323795,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Order,Coriobacteriia,14.77918009,0.000617649,2,Kruskal-Wallis rank sum test,0.002247191,103643.2008,30093.95263,70224.98978,103643.2008,30093.95263,4.57,10%Fat
Order,Bacteroidia,16.73684211,0.000232082,2,Kruskal-Wallis rank sum test,0.001072594,1334882.444,2376933.757,1745270.829,2376933.757,1334882.444,5.72,60%Fat
Order,Bacilli,46.66188756,7.37E-11,2,Kruskal-Wallis rank sum test,4.20E-09,0,23828.97789,220.6946713,23828.97789,0,4.08,60%Fat
Order,Bacilli,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Order,Bacilli,3,0.22313016,2,Kruskal-Wallis rank sum test,0.295777189,NA,NA,NA,NA,NA,NA,NA
Order,Bacilli,29.7179556,3.52E-07,2,Kruskal-Wallis rank sum test,4.30E-06,175197.5589,1259007.886,462470.907,1259007.886,175197.5589,5.73,60%Fat
Order,Bacilli,9.84783387,0.007270597,2,Kruskal-Wallis rank sum test,0.017031123,2539317.308,1154394.472,2242109.446,2539317.308,1154394.472,5.84,10%Fat
Order,Bacilli,5.240196876,0.072795697,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Order,Bacilli,0.012752971,0.993643801,2,Kruskal-Wallis rank sum test,0.993643801,NA,NA,NA,NA,NA,NA,NA
Order,Bacilli,1.666666667,0.434598209,2,Kruskal-Wallis rank sum test,0.516085373,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,21.90267271,1.75E-05,2,Kruskal-Wallis rank sum test,0.000115324,437.1679754,3377.751977,1299.01745,3377.751977,437.1679754,3.17,60%Fat
Order,Clostridia,4.637665593,0.098388358,2,Kruskal-Wallis rank sum test,0.169310113,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,10.1470335,0.006260365,2,Kruskal-Wallis rank sum test,0.014868367,4719.20638,1758.364893,419.3992416,4719.20638,419.3992416,3.33,10%Fat
Order,Clostridia,26.36798127,1.88E-06,2,Kruskal-Wallis rank sum test,1.61E-05,1421.781361,23477.63028,24739.2896,24739.2896,1421.781361,4.07,Oleate
Order,Clostridia,34.94552209,2.58E-08,2,Kruskal-Wallis rank sum test,5.35E-07,1380.324,262173.5033,11894.01162,262173.5033,1380.324,5.12,60%Fat
Order,Clostridia,3.76405299,0.152281196,2,Kruskal-Wallis rank sum test,0.241111893,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,13.11504269,0.0014194,2,Kruskal-Wallis rank sum test,0.004579572,659.0900807,7032.093377,1646.32899,7032.093377,659.0900807,3.5,60%Fat
Order,Clostridia,5.065610455,0.079435872,2,Kruskal-Wallis rank sum test,0.144505682,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,1.610454708,0.446986291,2,Kruskal-Wallis rank sum test,0.519963644,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,14.594343,0.000677452,2,Kruskal-Wallis rank sum test,0.002413424,431169.7841,172985.0616,120759.3317,431169.7841,120759.3317,5.19,10%Fat
Order,Firmicutes,1.334415584,0.513139371,2,Kruskal-Wallis rank sum test,0.566108596,NA,NA,NA,NA,NA,NA,NA
Order,Alphaproteobacteria,5.184021544,0.074869343,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Order,Gammaproteobacteria,16.29900166,0.00028888,2,Kruskal-Wallis rank sum test,0.00123496,183105.254,53367.25596,128183.1627,183105.254,53367.25596,4.81,10%Fat
Order,Gammaproteobacteria,3.393939394,0.18323795,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Order,Gammaproteobacteria,1.400444793,0.496474877,2,Kruskal-Wallis rank sum test,0.562233139,NA,NA,NA,NA,NA,NA,NA
Order,Verrucomicrobiae,10.81919083,0.00447345,2,Kruskal-Wallis rank sum test,0.011417312,481587.7986,798291.595,1278038.812,1278038.812,481587.7986,5.6,Oleate
Phylum,,9.077336198,0.010687632,2,Kruskal-Wallis rank sum test,0.024697095,105476.614,50525.61807,70351.53522,105476.614,50525.61807,4.44,10%Fat
Phylum,,16.73684211,0.000232082,2,Kruskal-Wallis rank sum test,0.001072594,1334882.444,2376933.757,1745270.829,2376933.757,1334882.444,5.72,60%Fat
Phylum,,12.79090584,0.00166913,2,Kruskal-Wallis rank sum test,0.005285577,7894326.624,6718520.846,6777526.837,7894326.624,6718520.846,5.77,10%Fat
Phylum,,15.37682341,0.000458105,2,Kruskal-Wallis rank sum test,0.001780363,183726.5204,55728.18323,128811.9872,183726.5204,55728.18323,4.81,10%Fat
Phylum,,10.81919083,0.00447345,2,Kruskal-Wallis rank sum test,0.011417312,481587.7986,798291.595,1278038.812,1278038.812,481587.7986,5.6,Oleate
